tidak_baku,baku
palolo,cacing
palun,berpalun-palun
pampang,memampang
pancal,memancal
pancalomba zaman,Yunani
pancar,gas
pancar terus,memancarteruskan
pancit,memancit
panco,berpanco
pancur,memancur
pancut,memancut
pangah,terpangah
panggil,memanggil
pangkas,berpangkas
pangkek,memangkek
pangku,berpangku
pangkung,memangkung
pangus,pangus
panili,vanili
panitra,panitera
panja,panja
panjat,tebing
panjer,panjar
pantak,memantak
pantar,sepantar
panting,berpantingan
pantul,memantul
panu,panau
papat,pepat
papras,memapras
parab,paraban
paraid,faraid
parampara,paranpara
parih,memarih
parik,porak-parik
parji,farji
paro,paruh
partial,parsial
parun,memarun
pasanggrahan,pesanggrahan
paset,faset
pasi,pucat
pasik,fasik
pasirah,pesirah
pastori,pastoran
pastur,pasteur
pasuk,berpasuk-pasuk
pateram,petaram
patikim,tikim
payir,pair
pecah beling,kejibeling
pecat,memecat
pecok,pecak
pedagogik,pedagogis
pedah,padah
pedu,empedu
pegah,terpegah
pegan,terpegan
pegang,berpegang
pegat,memegat
pegawam,peguam
pekah,nafkah
pekam,pakem
pekatul,bekatul
pekau,memekau
pekis,memekis
pekong,toapekong
peku,sepeku
pekur,tafakur
pel -- an,--an
pel-,per-
pelanting,terpelanting
pelapah,pelepah
pelas,memelas
pelaspas,memelaspas
pelbaya,pelebaya
pelecok,terpelecok
pelekok,terpelekok
pelembaya,pelebaya
pelempap,telempap
pelencit,terpelencit
pelengak,terpelengak
pelesat,memelesat
peleset,memeleset
pelesir,berpelesir
peletek,memeletek
peleting,peleting
pelintir,memelintir
pelok,peluk
pelopak,kelopak
pelosot,terpelosot
pelotot,memelotot
pelungpung,pelumpung
pem -- an,--an
pem-,peng-
pemetang-metangan,hari
pemindang,pemidang
pen-,peng-
penaga,menaga
pencar,berpencar
pencil,memencil
pencut,kepencut
penda,memenda
pendam,memendam
pendongkok,dongkok
penge -- an,--an
penge-,peng-
peniaram,penaram
penomah,raja
pental,terpental
pentang,mementang
pentilasi,ventilasi
peny -- an,--an
peny-,peng-
penyet,penyek
perah,memerah
perancit,pancit
perangah,memerangahkan
peranggi,peringgi
peranjat,terperanjat
perata,berperata
perbegu,pelebegu
percit,memercit
percul,tepercul
peredus,terperedus
pereh,terpereh-pereh
perengkat,peringkat
perenyak,terperenyak
perenyuk,terperenyuk
pergat,fregat
pergata,fregat
pergedel,perkedel
pergok,memergoki
pergul,pergol
perhati,berperhatian
periksa,teliti
perimping,perimpin
perinci,memerinci
perji,farji
perlintih,perlenteh
perlus,teperlus
permak,memermak
pernak,pernik
pernekel,pernikel
pernel,flanel
perogol,memerogol
peronyok,terperonyok
perop,prop
perosok,terperosok
perponding,tanah
perselah,perslah
persero,pesero
personil,personel
pertal,al
pertepel,portofolio
pertolehan,hari
peruak,terperuak
perugul,perogol
peruk,memeruk
perusa,memerusa
perwatin,batin
pesai,berpesai-pesai
pesemendan,pasumandan
peset,pesek
pesok,pesuk
pestol,pistol
petantang-petenteng,petenteng
petas,petasan
petenteng,petentengan
petia,memetia
petik,memetik
peting,memeting
peturun,harimau
phi,fi
pialu,pialu
picah,pica
pici,peci
picit,memicit
pidada,pedada
pidi,memidi
pidit,geridit
pijah,memijah
pijak,pijak-pijak
pijit,memijit
pikup,pikap
pilah,memilah
pilih,bulu
pimpin,berpimpin
pinar,berpinar
pinas,penes
pincut,terpincut
pindai,memindai
pinding,kepinding
pinga,terpinga-pinga
pingit,berpingit
pingkal,terpingkal-pingkal
pingkau,terpingkau-pingkau
pingkel,pingkal
pinjak,pijak
pinjam,meminjam
pinsil,pensil
pintal,berpintal
pintas,memintas
pioner,pionir
pipil,memipil
pirasat,firasat
pirsawan,pemirsa
piruk,hiruk
pisak,pesak
pisuh,pisuhan
pitah,petah
pitanggang,pitanggang
pitar,memitar
pitih,pitis
pitrah,fitrah
piyama,piama
planel,flanel
plat,pelat
po,po
podak,pandan
pohon buah-buahan,buah
polisi perairan laut,perairan
politisi,politikus
polmak,polmah
polok,berpolok-polok
polonter,volunter
poma,poma-poma
pondamen,fundamen
pondasi,fondasi
pora,pesta
porot,memorot
porter,portir
pos wesel,wesel
poser,memposer
posfor,fosfor
prabawa,perbawa
prada,perada
prakira,memprakirakan
praktek,praktik
pramu,pramu-
prangas,pringis
prausul,prasaran
presidentil,presidensial
pringas-pringis,prangas
prive,privat
priyagung,priagung
priyayi,priayi
propinsi,provinsi
provokatur,provokator
publisir,publikasi
puerperium,puerpera
pugak,berpugak-pugak
pugas,memugas
puitik,puitis
pujut,memujut
pukat petarang,petarang
pules,pulas
puling,pialing
pulpa,pulp
pulun,berpulun-pulun
punggah,memunggah
punggawa,penggawa
pungkang,memungkang
pungkas,memungkasi
pungkir,mungkir
punguk,sepunguk
pungut,memungut
puntal,berpuntal-puntal
puntir,memuntir
puruk,memurukkan
puser,pusar
putarwali,bratawali
putih mata,mata
putih tulang,tulang
qudsi,hadis
rabet,merabet
rabik,rabit
racak,meracak
racuh,meracuh
rada,rada-rada
radah,meradah
rades,radis
ragbol,rakbol
ragung,teragung
rahsia,rahasia
rajalela,merajalela
rajang,merajang
rajuk,merajuk
rakah,merakah
rakap,merakap
raksamala,rasamala
rakung,rakungan
rakut,merakut
ramban,meramban
rambeh,merambeh
rambih,rambeh
rambutan rafiah,rapiah
rame,ramai
rampat,merampat
rampis,ramping
ramulus,ramus
ranai,rinai
ranca,meranca
rancam,rancaman
randah,pindah
randang,rendang
randau,merandau
randek,merandek
randih,rondah-randih
randung,merandungkan
rangai,merangai
rangda,randa
ranggak,meranggakkan
ranggul,meranggul
rangkak,merangkak
rangkam,merangkam
rangkang,merangkang
rangkas,ranggas
rangket,merangket
rangkit,rangket
rangkuh,rengkuh
rangkul,merangkul
rangkum,bunga
rangkun,rangkum
rangkus,merangkus
rangkut,merangkut
rangsel,ransel
rangsuk,rasuk
rangsum,ransum
ranguk,rango-rango
rangum,merangum
ranjing,keranjingan
ranju,ranjau
ranjungan,rajungan
rantak,berantakan
rantam,berantam
rantuk,merantuk
ranyau,meranyau
ranyun,meranyun
rapah,merapah
rapai,merapai
rapal,merapal
rapung,merapung
rapus,merapus
rarai,merarai
rarak,berarakan
rasai,merasai
ratap,meratap
ratas,retas
raup,meraup
rayah,merayah
rayan,merayan
rayang,merayang
rayau,merayau
rayun,rayu
rebat,merebat
rebes,berebesan
Rebo,Rabu
rebok,rebuk
rebong,rebung
rebu,merebu
rebus,merebus
receh,recehan
recehan,uang
redas,redah
redep-redup,alang
redusir,meredusir
regah,meregah
regas,meregas
regat,meregat
regim,rezim
regup,meregup
reja,reja-reja
Rejab,Rajab
rejah,merejah
rejam,rajam
rejan,merejan
rejeki,rezeki
rejeng,merejeng
rejim,rezim
rejuk,merejuk
reka,mereka
rekaat,rakaat
rekah,merekah
rekal,rehal
rekat,merekat
reken,mereken
rekisitor,rekuisitor
rekisitur,rekuisitor
relas,merelas
relawan,sukarelawan
remas,meremas
rematisme,rematik
rembat,rimbat
rembih,merembih
rembus,embus
remet,meremet
remiak,riak
rempa,merempa
rempelu,empedu
rempong,rimpung
rempuh,merempuh
rempuk,rembuk
rempus,rampus
remuni,rembunai
rena,rona
renai,rinai
renang,berenang
rencam,merencam
rencat,terencat
rencet,rentet
rencik,recik
rencis,renjis
rendam,berendam
rendeng,berendeng
rendong,terendong
rengah,engah
rengap,merengap
rengeh,merengeh
rengek,merengek
rengeng,merengeng-rengeng
renggek,rengek
rengges,ranggas
renggut,merenggut
rengka,rengga
rengkang,rangkiang
rengkeh,merengkeh
rengket,merengket
rengkiang,rangkiang
rengkuh,merengkuh
rengus,merengus
rengut,merengut
renjeng,merenjeng
renjong,renjeng
rentap,merentap
rentas,merentas
renteng,serenteng
rentet,berentet
renti,merentikan
rentik,merentik
renyeh,merenyeh
reot,reyot
repah,rapah
repak,repas
repek,repet
repertorium,repertoar
repes,merepes
repet,merepet
repis,repih
repolper,revolver
rerangka,rangka
reranting,ranting
rerongkong,rongkong
rerot,bererot
resap,meresap
residif,residivistis
resiko,risiko
resu,resi
retal,hartal
retek,meretek
retet,rentet
retok,recok
retoris,retorik
rewan,rawan
rewet,merewet
reyal,rial
rho,ro
riadah,riadat
riah,meriah
rialat,riadat
ricau,mericau
ricis,rincis
rihal,rehal
rihat,rehat
rilis,merilis
rimah,remah
rimbit,rembet
rimbu,rimba
rimih,rimis
rinci,perinci
rincih,rincis
rincis,merincis
rincuh,rincu
ringgik,renggek
ringih,meringih
ringik,meringik
ringis,meringis
ringkik,meringkik
ringking,meringking
ringkuk,meringkuk
ringkus,meringkus
ringsing,meringsing
rintak,rentak
rintas,merintas
rintih,merintih
rinyai,rinai
risak,merisak
risih,risi
ritel,retail
ritma,ritme
ritmik,ritmis
rituil,ritual
ritul,meritul
riung,meriung
rizeki,rezeki
rogoh,merogoh
rogok,merogok
rogol,merogol
rohmat,rahmat
roi,garis
rois,rais
rojabiyah,rajabiah
rojeng,merojeng
rojol,merojol
romet,meromet
romo,rama
romok,meromok
roncet,beroncet-roncet
ronda,meronda
rondok,berondok
roneo,meroneo
ronggoh,rungguh
ronggok,rongkok
ronggong,meronggong
rongkok,merongkok
rongos,merongos
rongot,rungut
rongrong,merongrong
ronsen,rontgen
ronta,meronta
ronyeh,meronyeh
rorod,merorod
rosbang,resbang
roseng,rongseng
rosok,merosok
rosot,merosot
rowa,rua
rowot,merowot
royak,meroyak
royer,meroyer
ru,eru
Ruah,Ruwah
rubanat,ruhbanat
rubayat,rubaiat
rubel,Uang
rubuh,roboh
rubung,merubung
rudah,ruadat
rugul,rogol
ruhani,rohani
rujah,merujah
rukiat,rukiah
rukyah,rukyat
rumal,ramal
Rumawi,Romawi
rumenia,remenia
rumpi,merumpi
rumrum,merumrum
rumuk,merumuk
rumung,merumung
runduk,merunduk
rundung,merundung
runggu,rungguh
runggut,merunggut
rungkai,ungkai
rungkau,merungkau
rungsing,rongseng
rungsum,rumrum
rungus,merungus
runjam,merunjam
runjang,merunjang
runjau,merunjau
runtai,meruntai
runtak,ronta
runtas,meruntas
runti,merunti
runtih,meruntih
runtuk,reruntuk
runyai,unyai
runyut,merunyut
ruok,meruok
rupee,Uang
ruruh,luruh
rutuk,merutuk
ruyat,rukyat
ruyatulhilal,rukyatulhilal
saadat,saadah
sabas,syabas
sabet,menyabet
sabot,menyabot
sadai,bersadai
sadap,menyadap
sadau,bersadau
sadran,menyadran
safaat,syafaat
safrah,seperah
sago,sagu
saguir,saguer
sagun,sagon
sahadat,syahadat
sahbandar,syahbandar
sahda,syahda
sahdan,syahdan
sahid,syahid
sahkan,usah
sahwat,syahwat
said,sayid
saidani,sayidani
saidi,sayidi
sait,sayat
saji,bersaji
sakap,menyakap
sakaratulmaut,sakratulmaut
sakelat,sekelat
sakhlat,sekelat
sakit raja singa,singa
saklar,sakelar
salada,selada
salap,salep
salasilah,silsilah
salawat,selawat
sale,salai
salih,saleh
salip,menyalip
salir,menyalir
salur,menyalurkan
salwat,selawat
samadi,semadi
sambar,bersambaran
sambet,kesambet
sambi,menyambi
sambit,menyambit
sambur,limbur
samidra,kayu
samin,minyak
sampat,mandi
sampeyan,sampean
sampi,sapi
samplok,bersamplok
sampuk,menyampuk
sampurna,sempurna
samsara,sengsara
samudera,samudra
samuh,persamuhan
sandel,kuda
sangga mara,sangga
sanggam,menyanggam
sanggama,bersanggama
sanggang,menyanggang
sanggep,menyanggep
sanggit,bersanggit
sangkayan,sengkayan
sangkela,sangkala
sangking,saking
sangkut,bersangkut
sangling,menyangling
sangrai,menyangrai
sangsang,menyangsang
Sangsekerta,Sanskerta
sanjung,menyanjung
Sanskrit,Sanskerta
santak,menyantak
santap,bersantap
santir,santiran
santron,satron
santu,santo
sanya,bahwasanya
sapai,sapai-sapai
Sapar,Safar
sarahan,syarah
sarakah,serakah
sardencis,sarden
sarekat,serikat
sarengat,syariat
sariat,syariat
sariawan,seriawan
sarikan,akar
sarip,syarif
saripah,syarifah
sarok,saruk
saruk,menyaruk
sarun,saron
sarwal,seluar
sasakala,dongeng
sasan,sasa
sasian,anak
sate,satai
satelit palapa,palapa
satih,menyatih
satria,kesatria
satron,menyatroni
satu meja,menyatumejakan
satu padu,padu
saujana,mata
saut,akar
savana,sabana
sawa,ular
sawer,menyawer
sayarah,siarah
sayet,benang
seba,berseba
sebam-sebam,saban-saban
sebar luas,menyebarluaskan
sebarang,sembarang
sebaur,menyebaurkan
sebeng,layat
sebet,sebat
sebih,tasbih
sebik,cebik
sebit,menyebit
sebrot,menyebrot
sebuk,menyebuk
seburus,hitam
sebut,menyebut
seceng,ceceng
secerek,sicerek
sedah,sadah
sedakap,sedekap
sedarum,sederum
sedativa,sedatif
sedawa,serdawa
sedekala,sediakala
sedekap,bersedekap
sederiah,sadariah
sedot,menyedot
sedua,menyedua
sedut,sedot
seg,sek
seguna,sekaya
seh,syekh
sehaja,sahaja
sejingkat,bersejingkat
sek,tembakau
sekaker,sekakar
sekap,menyekap
sekebun,kunang-kunang
sekedar,sekadar
sekedidi,kedidi
sekema,skema
sekering,sekring
sekh,syekh
sekin,sikin
sekonar,sekunar
sekonyar,sekunar
sekors,skors
sekosol,sekesel
seksama,saksama
sekuas,lemon
sekui,sekoi
sekuik,naga
selaber,selabar
selaju,berselaju
selampe,selampai
selampek,selampai
selampuri,selempuri
Selan,Sailan
selangka,tulang
selangkup,menyelangkupi
selapa,selepa
selaya,burung
selayut,selayun
sele,selai
selederi,seledri
seledup,seludup
seleler,berseleleran
selembada,selempada
selembana,menyelembana
selembubu,halimbubu
selempukau,silempukau
selempuri,kain
selender,silinder
selendro,slendro
selengat,selangat
selenggara,menyelenggara
selentik,menyelentik
selenting,menyelenting
seleo,keseleo
selepang,selempang
selepat,berselepat
selerak,berselerak
seletuk,menyeletuk
seleweng,menyeleweng
selibu,padi
selibut,berselibut
seligit,menyeligit
selimbu,selibu
selindit,serindit
selindung,berselindung
selingar,menyelingar
selingkit,berselingkit
selingkup,menyelingkup
selirak,berselirak
selirat,berselirat
selisik,menyelisik
selisip,menyelisipkan
seliu,keseleo
seliwer,berseliweran
selodang,seludang
selomot,menyelomoti
Selon,Sailan
selongkar,menyelongkar
selonjor,berselonjor
selonong,menyelonong
selosoh,selusuh
seloyong,seloyong-seloyong
seluduk,menyeluduk
seludup,menyeludup
selulup,berselulup
selulur,terselulur
selumu,berselumu
selundup,menyelundup
selungkap,jelungkap
selungkup,menyelungkup
selusup,menyelusup
sema-sema,sema
semalakama,malakama
semanda,semenda
semandarasa,semendarasa
semandarasah,semendarasa
semanja,semaja
semayam,bersemayam
sembai,menyembai
sembat,menyembat
sembawang,semawang
sembelih,menyembelih
semberani,sembrani
semberono,sembrono
sembilat,semilat
sembilik,puru
sembirat,sebacat
semboja,kemboja
sembrani,besikuda
semedera,samudra
semejak,semenjak
semejana,semenjana
semek,demek
semilir,silir
sempada,ketam
sempalai,tersempalai
sempana,sempena
sempil,menyempil
sempoa,swipoa
sempul,tersempul
semsem,sengsem
semudera,samudra
semuntu,simuntu
senario,skenario
senawan,ular
senawar,pinang
sendalu,angin
sendam,tersendam
sendar,bersendar
sendel,bersendel
sending,zending
sendorong,bersendorongan
senduk,sendok
Senen,Senin
sengam,menyengam
senggah,sanggah
senggara,selenggara
senggau,bersenggau-senggau
senggayut,bersenggayut
senggerahan,pesanggrahan
sengget,menyengget
senggiling,tenggiling
senggol,bersenggol
senggut,menyenggut
sengih,menyengih
sengkarut,bersengkarut
sengkek,singkek
sengkeling,bersengkeling
sengkil,duduk
sengkilit,menyengkilit
sengsem,tersengsem
senguk,sengak
sengut,tersengut-sengut
senjak,sejak
senjuang,lenjuang
senoyong,bersenoyong
sensur,sensor
sental,menyental
sentap,sentak
sentausa,sentosa
senteri,santri
sentiabu,setiabu
sentiasa,senantiasa
sentimentil,sentimental
sentiung,sentiong
sentrum,sentra
sentuh,bersentuh
sentuk,tersentuk
senuhun,sinuhun
senyak,senyap
seok,terseok-seok
sepahit,manis
sepai,bersepai
sepakbor,sepatbor
sepanduk,spanduk
sepangkalan,sipangkalan
sepasan,sepesan
sepatung,sipatung
sepekuk,spekuk
sepel,menyepel
seperitus,spiritus
sepersi,asperses
sepih,serpih
sepintas,lalu
sepion,spion
sepiritus,spiritus
sepon,spons
sepora,spora
seprei,seprai
sepui,sepoi
sepuk,menyepuk
sepulih,akar
sepura,spora
sera,tersera-sera
serabai,serabi
seraga,bantal
serampat,sengkelit
serampu,sumpah
serandung,terserandung
serangguh,seranggung
seranggung,berseranggung
serangsang,menyerangsang
seranta,menyerantakan
serapa,serapah
serapat,akar
serawan,rawan
serbak,menyerbak
serbi,serba
serbu,menyerbu
sereat,syariat
seregang,berseregang
sereh,serai
serempet,menyerempet
serengeh,menyerengeh
seresah,serasah
sergam,tesergam
sergap,menyergap
serigading,srigading
serigunting,srigunting
Serikandi,Srikandi
serimpet,menyerimpet
seringih,seringai
serkai,menyerkai
serlah,menyerlah
sernak,menyernak
serobok,berserobok
serobot,menyerobot
seroda,seruda
serodok,seruduk
serompok,terserompok
serondeng,serundeng
serondok,terserondok
serondol,menyerondol
serondong,menyerondong
seropot,menyeropot
serosoh,menyerosoh
serpa,serapah
serpai,serpih
serse,sersi
sertu,menyertu
seruak,menyeruak
serual,seluar
serudi,berserudi
seruduk,menyeruduk
serumat,akar
serundang,menyerundang
seruni,serunai
seruntun,akar
seruyuk,menyeruyuk
sesah,bersesah
sesai,uang
sesayup-sayup,-mata
setagi,setagen
setai,bersetai-setai
setakona,astakona
setambuk,stambuk
setambul,stambul
setandar,standar
setasiun,stasiun
seteker,steker
setempel,stempel
seten,stengun
seterap,setrap
seteria,satria
seterik,setrik
seterika,setrika
seteriman,setirman
seterimin,setrimin
seterip,setrip
seterum,setrum
seterup,setrup
setewel,setiwel
setinggil,sitinggil
setinja,istinja
setiwal,setiwel
setoka,ikan
setoker,stoker
setoples,stoples
setor,menyetor
setormking,stromking
setreng,streng
setrimin,strimin
setua,satwa
setungging,bersetungging
seujung,kuku
seupaya-upayanya,seupaya-upaya
sewah,sewar
sewaka,bersewaka
sewat,menyewat
si-,sin-
sia,sia-sia
siakon,bersiakon
siarat,siarah
siasah,siasat
siat,menyiat
sidaguri,seleguri
sidai,menyidai
sidekah,sedekah
sidingin,sedingin
siduga,bersiduga
sika,baju
sikah,rupiah
sikedidi,kedidi
sikeduduk,senduduk
sikejut,semalu
sikeras,keras
siketumbak,sikudomba
sil-,sin-
silaf,khilaf
silahkan,silakan
silaturahim,silaturahmi
silempukau,silampukau
silengah,bersilengah
silik,menyilik
sim-,sin-
simak,menyimak
simalu,semalu
simbukan,kesimbukan
simbur,bersimbur
simpat,kesimpatan
simpir,menyimpirkan
simpuk,menyimpuk
sinandung,senandung
sinatan,tamban
sinau,seminau
sinda,sanda
sineol,enkaliptol
singahak,tersingahak
singgir,menyinggir
singgit,bersinggit
singgul,menyinggul
singgung,bersinggungan
singkak,singkap
singkawang,tengkawang
singkeh,singkek
singkir,menyingkir
singkup,sekop
singse,sinse
singsing,menyingsing
sintese,sintesis
sintung,menyintung
sinyalir,mensinyalir
sipai,sipahi
sipasin,sepasin
sipilis,sifilis
sipoa,swipoa
siram,bersiram
sirangkak,serangkak
sirkit,sirkuit
sirobok,serobok
siru,bersiru
sirup,sirop
sisalak,bersisalak
sisih,menyisih
sisip,menyisip
sista,kista
sistim,sistem
sisurut,bersisurut
sitar,siter
sitawar,setawar
sitir,menyitir
siuk,menyiuk
siwar,sewar
Siwaratri,Syiwaratri
skors,menskors
slah,slahnya
sohor,kesohor
soja,bersoja
sojah,soja
soklat,cokelat
soko,saka
sokom,bersokom
solang,menyolang
solat,salat
solawat,selawat
soldadu,serdadu
sombol,menyombol
sompak,sompok
sompeng,sompek
somplok,bersomplokan
sompoh,menyompoh
sompok,tersompok
sondang,menyondang
sondek,mayang
sondol,sundul
songel,tersongel
soprano,sopran
sorban,serban
sorga,surga
sorgawi,surgawi
sorok,pintu
sortir,menyortir
sotor,sotoh
soun,sohun
sowang,soang
spakbor,sepatbor
spatbor,sepatbor
spedometer,spidometer
spektograf,spektrograf
spektogram,spektrogram
srempet,serempet
stek,setek
stemma,stema
sten,stengun
stepler,stapler
stilir,menstilir
stop,setop
sual,soal
sualak,solak
suang-suang,-
suarga,surga
subhat,syubhat
subyek,subjek
subyektif,subjektif
subyektivisme,subjektivisme
suci kuman,hama
sudagar,saudagar
sudara,saudara
sudur,sodor
sufah,ahli
sugar,menyugar
sugra,kiamat
suguh,menyuguhi
sugun,hantu
suhun,sekar
suipoa,swipoa
suir,langsuir
sujadah,sajadah
suk,syok
sukduf,sekedup
sukur,syukur
sulalat,sulalah
sulu,suluh
sulub,sulbi
sulup,selup
sumanda,semenda
sumangat,semangat
sumarak,semarak
sumbar,bersumbar
sumbel,sungsang
sumbur,menyumbur
sumpel,sumpal
sunam,menyunam
sundai,sundai
sundik,sondek
sundul,menyundul
sunggi,menyunggi
sunggit,menyunggit
sungkah,menyungkah
sungkal bajak,sungkal
sungkap,tersungkap
sungkuk,tersungkuk
sungkum,menyungkum
sunglap,sulap
sungsum,sumsum
sunjam,tersunjam
sunnah,sunah
suntih,menyuntih
suntik,menyuntik
sunu,menyunu
sunyata,kesunyataan
supai,sipahi
supir,sopir
supit,sumpit
suraya,bintang
surban,serban
suren,surian
suris,surih
surung,sorong
survai,survei
susul,menyusul
susup,sasap
suten,bersuten
swagriya,kredit
swanggi,daun
swarga,surga
switer,sweter
Syaban,Syakban
syafkah,syafakat
syagar,sakar
syahada,syahda
syahadan,syahdan
syaikh,syekh
syaitan,setan
syajar,khuldi
syajarat,sejarah
syakar,sakar
syakduf,sekedup
syamas,samas
syamsiat,syamsiah
syapaat,syafaat
syaraf,saraf
syarbat,serbat
syarekat,syarikat
syariah,syariat
syorga,surga
syubahat,syubhat
syufaat,syafaat
syuk,syok
syurah,syarah
syurga,surga
taawud,taawuz
tabe,tabik
tabi,tabik
tabok,menabok
tabun,menabun
tabur,bertabur
tadabur,menadaburkan
tadung,tertadung
taftah,tafeta
tagak,menagak
tagih,menagih
tahadi,tadi
tahalil,tahlil
tahar,bertahar
tahbis,menahbiskan
tahnik,menahnik
tahta,takhta
taja,menaja
takak,bertakak
takeh,tekar
takel,takal
takhlik,menakhlikkan
takol,menakol
takuh,takah
takung,bertakung
talah,bertalah-talah
talai,lalai
talar,bertalaran
talek,talk
talun,bertalun
tambal,sulam
tambat,bertambat
tambuh,bertambuh
tambus,menambus
tampek,campak
tampel,menampel
tampi,menampi
tampik,menampik
tanah warisan,waris
tanak,bertanak
tanam,bertanam
tanang,menanang
tancang,menancang
tanda koma,koma
tandang,bertandang
tangap,menangap
tangas,bertangas
tanggang,bertanggang
tanggar,menanggar
tanggulang,menanggulangi
tangkal,menangkal
tangkap,bertangkap
tangker,tanker
tangkis,menangkis
tangkuk,menangkuk
tangkut,tangkup
tanjidur,tanjidor
taoke,tauke
tapah,tapa
tapi,tetapi
taras,teras
tari kelewang,keris
tari pedang,keris
tari sikin,keris
tarikat,tarekat
tarip,tarif
tarkasy,tarkas
tarkhim,tarhim
tarpentin,terpentin
tarra,tara
tarub,tarup
taruko,teroka
taruna,teruna
tarung,bertarung
tasbeh,tasbih
tasdid,tasydid
tasmak,tesmak
tasyrik,hari
tatai,bertatai-tatai
tatak,tatakan
tatang,menatang
tatap,muka
tatapan,tetampan
tatih,bertatih-tatih
tating,menating
taubat,tobat
tauco,taoco
taufan,topan
tauge,taoge
taul,menaul
tauladan,teladan
taulan,tolan
taung,menaungi
taup,taut
taur,menauri
Tauret,Taurat
Taurit,Taurat
tawajuh,bertawajuh
tawarikh,tarikh
tayub,tayuban
tayum,tayum-temayum
tazir,takzir
tean,teyan
tebah,menebah
tebakang,tambakan
tebera,tambera
tebuan,tabuhan
tedarus,tadarus
tedong,tedong-tedong
tegor,tegur
teka,terka
tekan,bertekan
tekar,takeh
tekebur,takabur
tekel,menekel
tekoan,teko
tektek,tetek
tekua,takwa
tekup,tekap
telakan,telekan
telapa,telap
telapak,telapakan
telas,petelasan
telayan,nelayan
telegrap,telegraf
telekan,bertelekan
teleku,berteleku
telekup,tekup
telenan,talenan
telepa,telap
telerang,batu
telgram,telegram
telikung,menelikung
telimpuh,bertelimpuh
telimpung,telempong
telingkah,bertelingkah
telingkuh,telingkah
telipuk,telepok
telisik,selisik
telpon,telepon
telukup,telungkup
telungkup,bertelengkup
telusuk,menelusuk
telusur,menelusuri
telutut,menelutut
temadun,tamadun
temahak,temaah
temali,tali
temara,temara
temas,temas-temas
temasa,tamasya
temasya,tamasya
tematis,tematik
tematu,tembatu
temayun,ayun
tembekar,tembikar
tembem,tembam
tembiring,tembereng
tembis,menembis
tembola,tombola
tembu,kijang
tembusu,tembesu
temeh,temeh-temeh
temengalan,tengalan
temokus,kemukus
tempa,menempa
tempalak,tempelak
tempang,timpang
tempatan,hati
tempayang,kepayang
tempek,tepek
tempel,bertempel
temperau,bertemperau
tempiar,bertempiar
templok,menemplok
temponek,tempunai
temporok,porok
tempuras,temperas
temu ireng,hitam
temu lawas,lawak
temu pauh,mangga
temukus,kemukus
temuni,tembuni
tener,tiner
tenggak,menenggak
tenggek,bertenggek
tengger,bertengger
tenggiring,tenggiri
tenggulung,senggulung
tengker,tengger
tengkik,tengkek
tengkok,tengkuk
tengkolak,tengkulak
tengkolok,tengkuluk
tengkurup,tengkurap
tenguh,lenguh
tenjet,bertenjet
tenok,menenok
tentera,tentara
tentram,tenteram
tepam,menepam
tepekong,toapekong
tepekur,tafakur
tepet,tepek
tepik,menepik
tepinis,tempinis
terajang,terjang
teral,meneral
teralis,tarali
teram,taram
terambu,tambo
teran,meneran
terasul,tarasul
terau,menerau
teraweh,tarawih
terem,trem
teret,deret
terika,menerika
teriko,triko
terjemah,menerjemahkan
terkam,menerkam
terkap,menerkap
terkup,beterkup
terlantar,telantar
terobong,cerobong
terobos,menerobos
terok,menerok
teroka,meneroka
terombol,menerombol
terompet,trompet
terong,terung
terongko,terungku
terpa,menerpa
terpedo,torpedo
teruka,teruko
testes,testis
tetampah,tampah
tetapan,tetampan
tetar,menetar
tetas,menetas
tetawak,tawak-tawak
teterapan,terapan
tetibau,tetibar
tetuhu,tuhu
tezi,teji
tigas,menigas
tihang,tiang
tijak,pijak
tiku,tikung
tikung,menikung
tilap,menilap
tilawat,tilawah
tile,tule
tilgrap,telegraf
timbau,menimbau
timbrung,menimbrung
timbuk,menimbuk
timbus,menimbus
timpa,bertimpa-timpa
timpal,menimpali
timpuh,bertimpuh
timpuk,menimpuk
tindan,bertindan
tindas,menindas
tindawan,cendawan
tindik,bertindik
tindis,tindih
tinggir,tengger
tinggung,bertinggung
tingkar,meningkar
tingkarah,tengkarah
tingkeb,tingkeban
tingker,tingkar
tingkrang,bertingkrang
tingkuh,bertingkuh
tinting,meninting
tipak,tepak
tipes,tifus
tipus,tifus
tirah,tetirah
tiru,meniru
tisik,menisik
titar,bertitar-titar
titih,petitih
titip,menitip
tobak,bertobak
toblos,coblos
todong,menodong
tofan,topan
togan,menogan
toge,taoge
toke,tauke
tolak ukur,ukur
tolap,bertolap
tolerir,toleransi
tomang,menomang
tompang,tumpang
tongkong,tongkol
tongkrong,menongkrong
tongol,menongol
tongsan,pulang
tongsil,tonsil
tonton,menonton
topah,tufah
topek,menopek
toreh,menoreh
tores,toreh
torne,turne
totol,totol-totol
towaf,tawaf
toyah,toya
toyoh,toya
toyor,menoyor
tragik,tragis
trakoma,trakom
traktir,mentraktir
tram,trem
trampil,terampil
transito,transit
tras,teras
trenggiling,tenggiling
tribulan,triwulan
triko,kain
tril,geletar
trindil,terindil
tropi,trofi
tuat,ketuat
tuban,tuban-tuban
tubi,bertubi-tubi
tudak,todak
tuduh,menuduh
tuhur,tohor
