tidak_baku,baku
delut,jelut
dembai,berdembai-dembai
demik,mendemik
demit,dedemit
dempet,berdempet
dempok,berdempok
dempuk,dempok
dena,dina
dengak,terdengak
dengap,berdengap
dengar,pendapat
dengkut,dengkur
densanak,dansanak
denyar,berdenyar
dep,mengedep
depang,mendepang
deponir,mendeponir
deprok,mendeprok
deraka,durhaka
derawa,gula
deres,menderes
derham,dirham
deria,indra
deriji,deruji
deringo,jerangau
deruji,jeruji
derun,derum
derut,derus
desinfektan,disinfektan
detasir,mendetasir
detia,daitia
detil,detail
diagnosa,diagnosis
diah,diat
diang,berdiang
diar,memperdiarkan
diatonis,diatonik
dibujurkan,-penyakit
didih,mendidih
didik,mendidik
digen,degen
dikir,zikir
diksa,berdiksa
dilak,mendilak
dinda,adinda
dingkit,berdingkit-dingkit
dipati,adipati
diris,mendiris
dirus,mendirus
disapu,-Allah
diskredit,mendiskreditkan
diwala,dewala
dodet,mendodet
dodor,kedodoran
dodos,mendodos
dogeng,dogel
dohok,terdohok
doklonyo,kelonyo
dolat,daulat
dolim,zalim
dolpin,dolfin
dompleng,mendompleng
dompol,berdompol
donatir,donatur
doncang,mendoncang
dongak,mendongak
dongkak,mendongkak
dorong,mendorong
dortrap,sepeda
dos,dus
dosin,lusin
dowel,kayu
drem,drum
dria,indra
dribel,mendribel
drop,mengedrop
dub,mengedub
dubila,setan
dublir,mendublir
dudu,mendudu
dudur,mendudur
duga,menduga
dugang,mendugang
dugas,mendugas
duh,aduh
dukung,berdukung
dulu,dahulu
dungas,mendungas
dunsanak,dansanak
dupak,mendupak
duren,durian
durna,durno
duru,berduru
dusin,mendusin
duwegan,degan
duyun,berduyun-duyun
eban,mengeban
ecek,ecek-ecek
ecer,mengecer
edap,dap
edar,beredar
edit,mengedit
efedrin,efedrina
egah,mengegah
egalitarisme,egalitarianisme
egat,mengegatkan
egol,mengegol
egos,mengegos
eja,mengeja
ejawantah,mengejawantah
ejek,mengejek
ekeh,terekeh-ekeh
eklektis,eklektik
ekopraksia,ekofraksia
eksim,eksem
eksoftalmia,eksoftalmos
eksoftalmus,eksoftalmos
ekspeditur,ekspeditor
eksploitir,eksploitasi
ekspo,eksposisi
eksportir,pengekspor
ekspos,mengekspos
ela,elo
elak,mengelak
elat,helat
elektromotif,tenaga
eliminir,eliminasi
elu,mengelukan
eluk,luk
elus,mengelus
emak,mak
embang,ambang
embar,mengembarkan
embara,mengembara
embat,mengembat
embol,mengembol
embut,mengembut
emis,mengemis
emol,mengemol
emong,mengemong
empar,mengempar
empas,mengempas
empela,ampela
empelas,ampelas
empenak,mengempenak
empet,empet-empetan
empik,mengempik
empo,mengempo
empoh,mengempoh
empot,empot-empotan
empul,mengempul
emrat,embrat
emut,mengemut
encal,encal-encal
encel,berencel-encel
endal,mengendal
endam,hendam
endoderm,endoderma
endon,mengendon
endong,mengendong
endus,mengendus
endut,endut-endut
enes,mengenes
engget,mengengget
enggok,enggokan
engkang,mengengkang
enjak,mengenjak
enjut,mengenjut
entak,mengentak
entas,mengentas
ente,anta
entot,mengentot
enyak,mengenyak
epak,mengepak
eram,mengeram
ereh,mengereh
eret,mengeret
erik,mengerik
erotik,erotis
esot,mengesot
eteris,asiri
etikat,iktikat
eyel,mengeyel
faks,faksmile
faksimili,faksimile
faraj,farji
fatsoen,fatsun
filosof,filsuf
fluor,fosfor
fobi,fobia
fondamen,fundamen
fora,forum
formatir,formatur
forsir,memforsir
fortin,barometer
foya,berfoya-foya
frase,frasa
fulan,polan
fuyonghai,puyonghai
gabihat,kabihat
gabungan kata,majemuk
gagai,menggagai
gagas,menggagas
gaguk,tergaguk-gaguk
gahar,menggahar
gail,gail-gail
gait,menggait
gajul,bergajul
galau,bergalau
galeng,galengan
gamik,menggamik
gamit,bergamit
gamma,gama
gampar,menggampar
ganang,gunung
gancar,gancaran
gandal,gandalan
ganden,gandin
ganggu,mengganggu
ganggu gugat,gugat
ganggut,mengganggut
gangsal,gasal
gangsang,gasang
gangsing,gasing
ganjak,berganjak
ganjar,mengganjar
ganjing,gonjang
ganjling,gonjlang
gantel,menggantelkan
gantih,menggantih
ganyah,mengganyah
ganyang,mengganyang
gapai,bergapaian
gaplok,menggaplok
gara,gahara
garap,menggarap
garuk,bergaruk-garuk
gasab,menggasab
gasak,gasak-gasakan
gasir,gangsir
gaswah,kaswah
gaul,bergaul
gaut gapai,gaut
gayuk,menggayuk
gayun,menggayun
gayut,bergayut
gebah,menggebah
geblak,menggeblak
gebok,menggebok
gebot,menggebot
gebrak,menggebrak
gebu,menggebu
gebuk,menggebuk
gebyur,menggebyur
gecek,menggecek
gedabak,gedebuk
gedabir,gelambir
gedang,gadang
gedok,gedokan
gedor,menggedor
geduyut,bergeduyut
gegak gempita,gempita
gegas,bergegas
gegau,tergegau
gejuju,menggejuju
gelabur,menggelabur
geladah,geledah
geladrah,menggeladrah
gelagak,gelegak
gelalar,menggelalar
gelana,gulana
gelandot,menggelandoti
gelangsar,menggelangsar
gelanting,menggelanting
gelantung,bergelantung
gelapur,gelepur
gelasar,gelangsar
gelatang,gelantang
gelatuk,menggelatuk
gelayangan,bergelayangan
gelayar,gelayaran
geleber,bergeleberan
gelecik,menggelecik
geledah,menggeledah
geledang,menggeledang
geleding,menggeleding
geledur,menggeledur
gelegak,bergelegak
gelekak,menggelekak
gelekek,menggelekek
gelembai,kelambai
gelembur,menggelembur
gelempang,gelimpang
gelenang,tergelenang
gelendot,bergelendot
gelenggang,gelinggang
gelentar,geletar
gelenting,menggelenting
gelenyar,menggelenyar
gelepai,menggelepai
gelepar,bergeleparan
gelepek,menggelepek
gelepok,gelepot
geler,gilir
gelesek,geleser
geleser,menggeleser
gelesot,menggelesot
geletak,menggeletak
geletar,menggeletar
geletek,gelitik
geletik,menggeletik
geletis,menggeletis
geletuk,menggeletuk
geliang,geliang-geliut
geliat,geliat-geliut
gelibir,menggelibir
geliga,guliga
geligis,menggeligis
geligit,menggeligit
gelimang,bergelimang
gelimantang,menggelimantang
gelimpang,bergelimpang
gelimun,bergelimun
gelincir,menggelincir
gelincuh,tergelincuh
gelinding,bergelindingan
gelindung,gelendong
gelingsir,bergelingsir
gelinjang,menggelinjang
gelintang,tergelintang
gelintar,menggelintar
gelintin,bergelintin
gelinting,menggelinting
gelipang,gelimpang
gelitar,menggelitar
geliting,gelitik
geliut,geliang
gelobok,menggelobok
gelohok,tergelohok
gelojak,gejolak
gelokak,gelopak
gelomang,gelimang
gelompar,menggelompar
gelonggong,bergelonggong
gelongsong,kelongsong
gelongsor,menggelongsor
gelontor,menggelontor
gelopak,menggelopak
gelorat,darurat
gelosang,menggelosang
geloso,menggeloso
gelosok,menggelosok
gelosor,gelongsor
gelotak,menggelotak
gelugut,bergelugut
gelulur,menggelulur
gelumang,gelimang
geluncur,tergeluncur
gelup,menggelup
gelupur,menggelupur
gelut,bergelut
gemak,menggemak
gemala,kemala
gemap,tergemap
gembar-gembor,bergembar-gembor
gembel,jembel
gembos,menggembos
gembut,bergembut-gembut
gementar,gemetar
gemercing,gemerencing
gemik,menggemik
geming,bergeming
gemit,gamit
gempita,menggempita
gempur,menggempur
genang,bergenang
gencer,gencar
gencir,gelincir
gendaga,kendaga
gendis,gendang
gendit,kendit
genih,genis
genjot,menggenjot
gentayang,gentayangan
genteng,genting
gentik,getik
geosinkronis,geostasioner
gepit,menggepit
gepok,bergepok-gepok
gera,menggera
geracak,gerecak
geradah,geledah
geragap,menggeragap
geragas,menggeragas
geragot,gerogot
gerami,gurami
geramus,menggeramus
gerangsang,berangsang
gerantak,menggerantak
geranyam,menggeranyam
gerapai,menggerapai
gerapu,bergerapu
gerat,menggerat
gerawat,menggerawat
gerayah,menggerayah
gerbak,menggerbak
gerbang gersul,gersul
gerbus,menggerbus
gerdam,gerdum
gerebak,gerebek
gerebek,menggerebek
gerecak,menggerecak-gerecak
gerecok,menggerecok
gerek,bergerek-gerek
geremet,menggeremet
gerenek,gerenik
gereneng,gerenengan
gerentam,gerentang
gerenyam,geranyam
gerenyet,menggerenyet
gerenyut,gerenyot
gerepe,menggerepe
gerepek,menggerepek
geresek,menggeresek
geret,menggeret
geretang,menggeretang
gergajul,bergajul
geridip,menggeridip
gerik,gerak
gerinyau,menggerinyau
gerinyut,gerenyot
gerita,gurita
geriuk,geriak
gero,menggero
geroda,garuda
gerogot,menggerogoti
gerombol,bergerombol
gerompok,menggerompok
geronggong,geronggang
geronium,geranium
gerontang,gerantang
geropes,gerupis
geropyok,menggeropyok
geros,menggeros
gerowot,menggerowot
gertap,gerlap
gerubuk,gerobok
gerugul,gerogol
gerumuk,menggerumuk
gerumut,menggerumuti
gerundel,menggerundel
gerunyam,menggerunyam
gerupis,menggerupis
gerupuk,menggerupuk
gesa,bergesa-gesa
gesau,desau
gesek,bergesek
gesel,bergesel
geser,bergeser
getik,menggetik
getil,menggetil
getu,menggetu
gewang,giwang
gibang,menggibang
gibas,kibas
gidik,bergidik
gigil,menggigil
gigit,menggigit
gilang,gilang-gemilang
